p01	marnie	Interior of a cosy crooked cottage at dusk with warm terracotta lamplight. The little girl Marnie sits happily with a swirling carousel of tiny glowing thought-doodles (question marks, stars, tiny curls) floating above her head. Cosy, full of wonder. Empty calm space top-left for text.
p02	daddy	Daddy shuffling home at dusk down a tumbling street of terracotta and ochre rooftops, his head drooping, looking grey and deflated; behind him a cold hulking glowing machine sits at his old desk in a lit window. Melancholy, warm-dark. Empty sky at top for text.
p03	marnie,daddy	Cosy cottage interior, the little girl Marnie clambered onto Daddy's knee with a big grin, spelling on her fingers; a small grey rain-cloud lifting away from Daddy as he begins to smile. Warm terracotta glow. Empty space on the right for text.
p04	marnie,daddy	Tender cottage scene by a warm fire. Mummy (dark hair with a fringe, wrapped in a cream cable-knit blanket, softly pregnant, hand on her bump) sits on a settle; Marnie and Daddy kiss her cheek. Golden firelight, a small window showing evening sky. Empty space on the left for text.
p05	marnie,daddy	Wide dusk landscape: two tiny figures, the girl Marnie and Daddy, walking up over a hill toward a tall dark wood, ferns waving like feathers, warm ochre-and-amber sky. Storybook scale, tiny figures. Empty sky for text.
p06	marnie,daddy	Inside the wood among tall ferns and toadstools at dusk, Marnie gestures upward in wonder describing a giant; a faint dreamy hint of a big shape in the misty background. Daddy smiles, tired and kind. Empty lower space for text.
p07	marnie,daddy	The forest path petering out, light thinning to gleams, tall dark trees closing in, the two small figures turned about and a little lost but safe. Warm-dark shadow, tiny warm figures. Empty top for text.
p08	marnie,daddy,creatures	A shimmering brook with a small forlorn tortoise before mossy stepping stones; the girl Marnie crouched pointing out the stones one by one in order; Daddy watching. Warm, gentle watercolour. Empty space on the right for text.
p09	marnie,creatures	A long line of tiny ants heaving a huge crumb, then breaking it into small pieces each ant carries; the girl Marnie kneeling, delighted. Dappled dusk forest floor. Empty top for text.
p10	marnie,creatures	A flustered russet squirrel with a big fluffy tail and acorns flung everywhere, then calmly gathering them one by one; a tiny wrecked contraption nearby; the girl Marnie helping. Comic and warm. Empty space on the right for text.
p11	marnie,daddy,creatures	A pale owl on a bough with several faint path-lines fanning out behind her; the girl Marnie writing steps in the air; Daddy's face softening into near-belief, warmer and less grey. Empty lower space for text.
p12	marnie,daddy	The trees open onto a wide dark roaring river, deep and swift; Daddy sinks down in shivery loss; the girl Marnie stands looking at the water. Dramatic dark water but warm-toned surroundings. Empty sky for text.
p13	marnie	A sleepy duck on a stump by the river, blinking; the girl Marnie talking her problem aloud into the foggy air, tiny glowing thought-lines assembling into a plan around her. Foggy, intimate, warm. Empty top for text.
p14	marnie,daddy,ponderwump	THE BIG REVEAL, dramatic full scene: the ferns shiver and the Ponderwump rises from the gloom taller than the trees — olive-moss coat with subtle dusky-blue edge, two glowing amber lantern eyes, two question-mark horns, long looping tail crest, little round spectacles. Tiny Marnie gasps and Daddy stares. Awe, amber light flooding the warm dark. Room at the bottom for a title-style line.
p15	marnie,daddy,ponderwump	Warm close scene: Daddy kneeling with his hand to his chest, looking up at the gentle giant with wonder, doubt slipping away; the girl Marnie beside him beaming. Amber glow on their faces. Empty space to one side for text.
p16	marnie,ponderwump	The gentle giant slumped, sad and muddled, a tangle of glowing thought-threads knotting around his head; tiny Marnie standing tall by his enormous toe, gesturing a clear plan; the threads beginning to straighten. Empty top for text.
p17	marnie,daddy,ponderwump	The Ponderwump arched like a bridge, his long tail laid to the far bank, cradling the girl Marnie and Daddy softly as he carries them across the dark water under a sky full of stars. Magical, sweeping, warm. Empty sky for text.
p18	marnie,daddy,ponderwump	The crooked cottage glowing gold through mist; Mummy (cream blanket, pregnant) at the lit window; Daddy kneeling by the girl Marnie in the golden doorway light; the gentle giant peeping in kindly behind. Warm reunion. Empty sky/side for text.
p19	marnie,ponderwump	The girl Marnie asleep in her little bed, moon on her brow, a single small warm glowing thought (a tiny lantern of an idea) hovering above her; through the window the Ponderwump is curled peacefully in the ferns by the door. Peaceful, tender, warm. Empty top for text.
